period,network,subnetwork,station,station_name,x,y,variable_id,variable_name
before_2007,0005,0011,F000183,Carme-Capellades - 08044-0016,390213.95,4598271.98,F000183NPM,S2-Museu_Capellades_Nivell piezometric_REV0
before_2007,0005,0011,F000184,Carme-Capellades - 08104-0023,377194.47,4592715.8,F000184NPM,Nivell piezomètric
before_2007,0005,0011,F000187,Bloc del Gaià-Bonastre - 43030-0014,370156,4563119,F000187NPM,Nivell piezomètric
before_2007,0005,0011,F000189,Baix Gaià - 43126-0027,362876.77,4557136.25,F000189NPM,Nivell piezomètric (F000189NPM)
before_2007,0005,0011,F000190,Baix Gaià - 43043-0054,358621.72,4558513.95,F000190NPM,Nivell piezomètric (F000190NPM)
before_2007,0005,0011,F000191,Garraf - 43163-0049,377919.32,4565108.22,F000191NPM,Nivell piezomètric (F000191NPM)
before_2007,0005,0011,F000192,Bloc del Gaià-Bonastre - 43089-0007,364550,4568729,F000192NPM,Nivell piezomètric
before_2007,0005,0011,F000193,Bloc del Gaià-Bonastre - 43089-0008,366228.09,4568055.89,F000193NPM,Nivell piezomètric (F000193NPM)
before_2007,0005,0011,F000194,Bloc del Gaià-Bonastre - 43131-0032,369784,4562211.35,F000194NPM,Nivell piezomètric
before_2007,0005,0011,F000195,Bloc del Gaià-Bonastre - 43030-0030,370188.32,4562970.93,F000195NPM,Nivell piezomètric (F000195NPM)
before_2007,0005,0011,F000196,Bloc del Gaià-Bonastre - 43089-0009,367549.93,4568752.79,F000196NPM,Nivell piezomètric
before_2007,0005,0011,F000197,Garraf - 08058-0057,387094.79,4567964.53,F000197NPM,Nivell piezomètric
before_2007,0005,0011,F000198,Garraf - 08231-0041,398562.7,4568283.9,F000198NPM,Nivell piezomètric
before_2007,0005,0011,F000199,Garraf - 08148-0013,397941,4572568,F000199NPM,Nivell piezomètric
before_2007,0005,0011,F000200,Garraf - 08058-0058,387400,4567732,F000200NPM,Nivell piezomètric
before_2007,0005,0011,F000201,Garraf - 08074-0025,387997.83,4566369.57,F000201NPM,Nivell piezomètric
before_2007,0005,0011,F000202,Garraf - 43037-0029,381456.87,4562908.81,F000202NPM,Nivell piezomètric
before_2007,0005,0011,F000203,Garraf - 43037-0030,380537.36,4561915.4,F000203NPM,Nivell piezomètric
before_2007,0005,0011,F000205,Garraf - 43024-0076,380990.89,4565397.58,F000205NPM,Nivell piezomètric
before_2007,0005,0011,F000206,Garraf - 43037-0032,380710.06,4561448.55,F000206NPM,Nivell piezomètric (F000206NPM)
